epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,231.523,1.06667,2.06782,1.44006,0.79309,0.332,0.69304,0.37833,1.17721,2.91501,1.92986,0.000652482,0.000652482,0.000652482
2,465.619,1.23196,1.67893,1.54424,0.55982,0.6,0.61146,0.29876,1.56853,2.55404,2.60516,0.00125385,0.00125385,0.00125385
3,698.658,1.29735,1.55711,1.57121,0.39642,0.32,0.2782,0.11166,2.19576,2.83999,2.99552,0.00178922,0.00178922,0.00178922
4,939.038,1.35367,1.53249,1.6223,0.44673,0.472,0.40309,0.18091,1.91188,3.23872,2.76689,0.001703,0.001703,0.001703
5,1180.37,1.32262,1.36216,1.58845,0.47625,0.444,0.44047,0.20245,1.88756,2.43368,2.53111,0.001604,0.001604,0.001604
6,1422.58,1.29168,1.29149,1.54161,0.81852,0.676,0.81351,0.47761,1.29404,1.45957,1.77457,0.001505,0.001505,0.001505
7,1672.11,1.22376,1.1418,1.48891,0.81177,0.84,0.87679,0.51262,1.30903,1.17068,1.84947,0.001406,0.001406,0.001406
